MY_TARGET_ITEM_NAME,itemname_api,kindname_api,countyname_api,marketname_api,date,price_api,unit_api,REQUESTED_KINDNAME,REQ_ITEMCATCODE,REQ_ITEMCODE,REQ_KINDCODE,REQ_RANKCODE,REQ_COUNTRYCODE
배추,배추,월동(1kg),서울,가락도매,2025-01-02,1500,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),부산,엄궁도매,2025-01-02,1450,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대구,북부도매,2025-01-02,1200,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),광주,서부도매,2025-01-02,1330,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대전,오정도매,2025-01-02,1300,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),서울,가락도매,2025-01-03,1700,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),부산,엄궁도매,2025-01-03,1650,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대구,북부도매,2025-01-03,1700,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),광주,서부도매,2025-01-03,1420,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대전,오정도매,2025-01-03,1400,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),서울,가락도매,2025-01-06,1560,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),부산,엄궁도매,2025-01-06,1600,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대구,북부도매,2025-01-06,1600,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),광주,서부도매,2025-01-06,1420,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대전,오정도매,2025-01-06,1710,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),서울,가락도매,2025-01-07,1880,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),부산,엄궁도매,2025-01-07,1650,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대구,북부도매,2025-01-07,1600,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),광주,서부도매,2025-01-07,1520,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대전,오정도매,2025-01-07,1680,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),서울,가락도매,2025-01-08,1680,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),부산,엄궁도매,2025-01-08,1650,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대구,북부도매,2025-01-08,1600,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),광주,서부도매,2025-01-08,1720,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대전,오정도매,2025-01-08,1730,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),서울,가락도매,2025-01-09,1680,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),부산,엄궁도매,2025-01-09,1650,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대구,북부도매,2025-01-09,1600,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),광주,서부도매,2025-01-09,1720,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대전,오정도매,2025-01-09,1630,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),서울,가락도매,2025-01-10,1640,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),부산,엄궁도매,2025-01-10,1650,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대구,북부도매,2025-01-10,1600,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),광주,서부도매,2025-01-10,1610,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대전,오정도매,2025-01-10,1630,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),서울,가락도매,2025-01-13,1660,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),부산,엄궁도매,2025-01-13,1650,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대구,북부도매,2025-01-13,1600,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),광주,서부도매,2025-01-13,1630,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대전,오정도매,2025-01-13,1580,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),서울,가락도매,2025-01-14,1660,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),부산,엄궁도매,2025-01-14,1650,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대구,북부도매,2025-01-14,1600,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),광주,서부도매,2025-01-14,1600,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대전,오정도매,2025-01-14,1580,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),서울,가락도매,2025-01-15,1660,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),부산,엄궁도매,2025-01-15,1650,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대구,북부도매,2025-01-15,1600,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),광주,서부도매,2025-01-15,1670,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대전,오정도매,2025-01-15,1630,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),서울,가락도매,2025-01-16,1640,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),부산,엄궁도매,2025-01-16,1650,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대구,북부도매,2025-01-16,1560,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),광주,서부도매,2025-01-16,1660,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대전,오정도매,2025-01-16,1630,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),서울,가락도매,2025-01-17,1660,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),부산,엄궁도매,2025-01-17,1650,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대구,북부도매,2025-01-17,1600,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),광주,서부도매,2025-01-17,1660,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대전,오정도매,2025-01-17,1650,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),서울,가락도매,2025-01-20,1600,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),부산,엄궁도매,2025-01-20,1600,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대구,북부도매,2025-01-20,1530,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),광주,서부도매,2025-01-20,1620,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대전,오정도매,2025-01-20,1460,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),서울,가락도매,2025-01-21,1600,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),부산,엄궁도매,2025-01-21,1550,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대구,북부도매,2025-01-21,1530,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),광주,서부도매,2025-01-21,1650,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대전,오정도매,2025-01-21,1460,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),서울,가락도매,2025-01-22,1620,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),부산,엄궁도매,2025-01-22,1550,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대구,북부도매,2025-01-22,1530,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),광주,서부도매,2025-01-22,1650,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대전,오정도매,2025-01-22,1310,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),서울,가락도매,2025-01-23,1420,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),부산,엄궁도매,2025-01-23,1450,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대구,북부도매,2025-01-23,1500,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),광주,서부도매,2025-01-23,1650,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대전,오정도매,2025-01-23,1350,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),서울,가락도매,2025-01-24,1540,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),부산,엄궁도매,2025-01-24,1450,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대구,북부도매,2025-01-24,1500,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),광주,서부도매,2025-01-24,1640,1kg,월동배추,200,211,06,04,1101
배추,배추,월동(1kg),대전,오정도매,2025-01-24,1360,1kg,월동배추,200,211,06,04,1101
