date,MY_TARGET_ITEM_NAME,countyname_api,avg_price
2025-01-02,Cabbage,Seoul,5198
2025-01-02,Cabbage,Busan,5228
2025-01-02,Cabbage,Daegu,5103
2025-01-02,Cabbage,Incheon,4995
2025-01-02,Cabbage,Gwangju,4993
2025-01-02,Cabbage,Daejeon,4917
2025-01-02,Cabbage,Ulsan,5990
2025-01-02,Cabbage,Sejong,3980
2025-01-02,Cabbage,Suwon,5415
2025-01-02,Cabbage,Seongnam,5320
2025-01-02,Cabbage,Goyang,5630
2025-01-02,Cabbage,Yongin,3980
2025-01-02,Cabbage,Chuncheon,5770
2025-01-02,Cabbage,Gangneung,4990
2025-01-02,Cabbage,Cheongju,5315
2025-01-02,Cabbage,Cheonan,3980
2025-01-02,Cabbage,Jeonju,4375
2025-01-02,Cabbage,Suncheon,5050
2025-01-02,Cabbage,Pohang,4995
2025-01-02,Cabbage,Andong,3980
2025-01-02,Cabbage,Changwon,4840
2025-01-02,Cabbage,Gimhae,4990
2025-01-02,Cabbage,Jeju,5825
2025-01-03,Cabbage,Seoul,5240
2025-01-03,Cabbage,Busan,5228
2025-01-03,Cabbage,Daegu,5270
2025-01-03,Cabbage,Incheon,4995
2025-01-03,Cabbage,Gwangju,4827
2025-01-03,Cabbage,Daejeon,4583
2025-01-03,Cabbage,Ulsan,5905
2025-01-03,Cabbage,Sejong,3980
2025-01-03,Cabbage,Suwon,5415
2025-01-03,Cabbage,Seongnam,4830
2025-01-03,Cabbage,Goyang,6300
2025-01-03,Cabbage,Yongin,3980
2025-01-03,Cabbage,Chuncheon,5770
2025-01-03,Cabbage,Gangneung,3990
2025-01-03,Cabbage,Cheongju,5745
2025-01-03,Cabbage,Cheonan,3980
2025-01-03,Cabbage,Jeonju,4375
2025-01-03,Cabbage,Suncheon,4550
2025-01-03,Cabbage,Pohang,5160
2025-01-03,Cabbage,Andong,3980
2025-01-03,Cabbage,Changwon,4840
2025-01-03,Cabbage,Gimhae,3990
2025-01-03,Cabbage,Jeju,5825
2025-01-06,Cabbage,Seoul,5665
2025-01-06,Cabbage,Busan,5685
2025-01-06,Cabbage,Daegu,5380
2025-01-06,Cabbage,Incheon,4660
2025-01-06,Cabbage,Gwangju,4880
2025-01-06,Cabbage,Daejeon,5327
2025-01-06,Cabbage,Ulsan,5990
2025-01-06,Cabbage,Sejong,3180
2025-01-06,Cabbage,Suwon,6150
2025-01-06,Cabbage,Seongnam,6660
2025-01-06,Cabbage,Goyang,6960
2025-01-06,Cabbage,Yongin,3180
2025-01-06,Cabbage,Chuncheon,5770
2025-01-06,Cabbage,Gangneung,4990
2025-01-06,Cabbage,Cheongju,5910
2025-01-06,Cabbage,Cheonan,3180
2025-01-06,Cabbage,Jeonju,4090
2025-01-06,Cabbage,Suncheon,5105
2025-01-06,Cabbage,Pohang,4825
2025-01-06,Cabbage,Andong,3180
2025-01-06,Cabbage,Changwon,4505
2025-01-06,Cabbage,Gimhae,4990
2025-01-06,Cabbage,Jeju,5380
2025-01-07,Cabbage,Seoul,5568
2025-01-07,Cabbage,Busan,6010
2025-01-07,Cabbage,Daegu,5380
2025-01-07,Cabbage,Incheon,5160
2025-01-07,Cabbage,Gwangju,4937
2025-01-07,Cabbage,Daejeon,5327
2025-01-07,Cabbage,Ulsan,6490
2025-01-07,Cabbage,Sejong,3180
2025-01-07,Cabbage,Suwon,6150
2025-01-07,Cabbage,Seongnam,6660
2025-01-07,Cabbage,Goyang,6960
2025-01-07,Cabbage,Yongin,3180
2025-01-07,Cabbage,Chuncheon,5770
2025-01-07,Cabbage,Gangneung,4990
2025-01-07,Cabbage,Cheongju,6410
2025-01-07,Cabbage,Cheonan,3180
2025-01-07,Cabbage,Jeonju,4145
2025-01-07,Cabbage,Suncheon,5550
2025-01-07,Cabbage,Pohang,4995
2025-01-07,Cabbage,Andong,3180
2025-01-07,Cabbage,Changwon,4505
2025-01-07,Cabbage,Gimhae,4990
2025-01-07,Cabbage,Jeju,5435
2025-01-08,Cabbage,Seoul,5609
2025-01-08,Cabbage,Busan,6092
2025-01-08,Cabbage,Daegu,5380
2025-01-08,Cabbage,Incheon,5495
2025-01-08,Cabbage,Gwangju,4993
2025-01-08,Cabbage,Daejeon,5177
2025-01-08,Cabbage,Ulsan,6655
2025-01-08,Cabbage,Sejong,3180
2025-01-08,Cabbage,Suwon,6150
2025-01-08,Cabbage,Seongnam,4830
2025-01-08,Cabbage,Goyang,6960
2025-01-08,Cabbage,Yongin,3180
2025-01-08,Cabbage,Chuncheon,6880
2025-01-08,Cabbage,Gangneung,4990
2025-01-08,Cabbage,Cheongju,6495
2025-01-08,Cabbage,Cheonan,3180
2025-01-08,Cabbage,Jeonju,4475
2025-01-08,Cabbage,Suncheon,5825
