SALEDATE,WHSALNAME,CMPNAME,LARGENAME_API,MIDNAME_API,SMALLNAME,AVGAMT,STD,TOTQTY,MY_TARGET_ITEM_NAME,MY_TARGET_LARGENAME,MY_TARGET_MIDNAME,WHSALCD
20250103,천안,천안청과㈜,엽경채류,배추,저장배추,14250,12kg 상자,8916,배추,엽경채류,배추,340101
20250103,천안,천안청과㈜,엽경채류,배추,저장배추,8600,12kg 상자,2760,배추,엽경채류,배추,340101
20250103,천안,천안농협(공),엽경채류,배추,기타배추,16614.286,1kg 상자,49,배추,엽경채류,배추,340101
20250103,천안,천안농협(공),엽경채류,배추,우거지,4000,1kg 상자,2,배추,엽경채류,배추,340101
20250103,천안,천안농협(공),엽경채류,배추,쌈배추,14000,8kg 상자,24,배추,엽경채류,배추,340101
20250104,천안,천안청과㈜,엽경채류,배추,저장배추,14883.333,12kg 상자,5172,배추,엽경채류,배추,340101
20250104,천안,천안농협(공),엽경채류,배추,월동배추,7000,12kg 그물망,180,배추,엽경채류,배추,340101
20250104,천안,천안농협(공),엽경채류,배추,쌈배추,15000,8kg 상자,32,배추,엽경채류,배추,340101
20250104,천안,천안농협(공),엽경채류,배추,기타배추,5480,1kg 상자,35,배추,엽경채류,배추,340101
20250106,천안,천안청과㈜,엽경채류,배추,저장배추,13807.143,12kg 상자,12276,배추,엽경채류,배추,340101
20250106,천안,천안농협(공),엽경채류,배추,쌈배추,9250,8kg 상자,160,배추,엽경채류,배추,340101
20250106,천안,천안농협(공),엽경채류,배추,기타배추,144000,1kg 상자,1,배추,엽경채류,배추,340101
20250106,천안,천안농협(공),엽경채류,배추,쌈배추,11200,10kg 상자,630,배추,엽경채류,배추,340101
20250107,천안,천안농협(공),엽경채류,배추,기타배추,7271.429,1kg 상자,63,배추,엽경채류,배추,340101
20250107,천안,천안농협(공),엽경채류,배추,쌈배추,20000,8kg 상자,40,배추,엽경채류,배추,340101
20250107,천안,천안농협(공),엽경채류,배추,월동배추,7000,12kg 그물망,180,배추,엽경채류,배추,340101
20250107,천안,천안농협(공),엽경채류,배추,우거지,2000,4kg 상자,24,배추,엽경채류,배추,340101
20250107,천안,천안청과㈜,엽경채류,배추,저장배추,7733.333,12kg 상자,900,배추,엽경채류,배추,340101
20250108,천안,천안농협(공),엽경채류,배추,기타배추,10500,1kg 상자,2,배추,엽경채류,배추,340101
20250108,천안,천안청과㈜,엽경채류,배추,기타배추,10000,12kg 상자,336,배추,엽경채류,배추,340101
20250108,천안,천안청과㈜,엽경채류,배추,저장배추,14942.857,12kg 상자,12180,배추,엽경채류,배추,340101
20250108,천안,천안농협(공),엽경채류,배추,쌈배추,13500,8kg 상자,72,배추,엽경채류,배추,340101
20250108,천안,천안농협(공),엽경채류,배추,기타배추,15500,1kg 상자,10,배추,엽경채류,배추,340101
20250108,천안,천안농협(공),엽경채류,배추,기타배추,10500,1kg 상자,2,배추,엽경채류,배추,340101
20250108,천안,천안청과㈜,엽경채류,배추,기타배추,10000,12kg 상자,336,배추,엽경채류,배추,340101
20250108,천안,천안청과㈜,엽경채류,배추,저장배추,14942.857,12kg 상자,12180,배추,엽경채류,배추,340101
20250108,천안,천안농협(공),엽경채류,배추,쌈배추,13500,8kg 상자,72,배추,엽경채류,배추,340101
20250108,천안,천안농협(공),엽경채류,배추,기타배추,15500,1kg 상자,10,배추,엽경채류,배추,340101
20250109,천안,천안농협(공),엽경채류,배추,기타배추,1700,1kg 상자,17,배추,엽경채류,배추,340101
20250109,천안,천안농협(공),엽경채류,배추,월동배추,9600,12kg 그물망,984,배추,엽경채류,배추,340101
20250109,천안,천안농협(공),엽경채류,배추,쌈배추,16000,8kg 상자,16,배추,엽경채류,배추,340101
20250109,천안,천안청과㈜,엽경채류,배추,저장배추,9750,12kg 상자,708,배추,엽경채류,배추,340101
20250110,천안,천안청과㈜,엽경채류,배추,저장배추,12421.429,12kg 상자,12288,배추,엽경채류,배추,340101
20250110,천안,천안농협(공),엽경채류,배추,쌈배추,13000,8kg 상자,80,배추,엽경채류,배추,340101
20250110,천안,천안농협(공),엽경채류,배추,기타배추,3000,1kg 상자,7,배추,엽경채류,배추,340101
20250111,천안,천안농협(공),엽경채류,배추,기타배추,6533.333,1kg 상자,31,배추,엽경채류,배추,340101
20250111,천안,천안농협(공),엽경채류,배추,월동배추,5000,12kg 그물망,360,배추,엽경채류,배추,340101
20250111,천안,천안농협(공),엽경채류,배추,쌈배추,13000,8kg 상자,88,배추,엽경채류,배추,340101
20250113,천안,천안농협(공),엽경채류,배추,기타배추,10378.571,1kg 상자,57,배추,엽경채류,배추,340101
20250113,천안,천안농협(공),엽경채류,배추,우거지,5000,5kg 상자,10,배추,엽경채류,배추,340101
20250113,천안,천안농협(공),엽경채류,배추,쌈배추,16000,8kg 상자,40,배추,엽경채류,배추,340101
