date,cabbage,radish,garlic,onion,daikon,cilantro,artichoke,cabbage_pred_Ridge,radish_pred_Ridge,garlic_pred_Ridge,onion_pred_Ridge,daikon_pred_Ridge,cilantro_pred_Ridge,artichoke_pred_Ridge,cabbage_pred_RandomForestRegressor,radish_pred_RandomForestRegressor,garlic_pred_RandomForestRegressor,onion_pred_RandomForestRegressor,daikon_pred_RandomForestRegressor,cilantro_pred_RandomForestRegressor,artichoke_pred_RandomForestRegressor,cabbage_pred_LGBM,radish_pred_LGBM,garlic_pred_LGBM,onion_pred_LGBM,daikon_pred_LGBM,cilantro_pred_LGBM,artichoke_pred_LGBM,cabbage_pred_XGBoost,radish_pred_XGBoost,garlic_pred_XGBoost,onion_pred_XGBoost,daikon_pred_XGBoost,cilantro_pred_XGBoost,artichoke_pred_XGBoost,cabbage_pred_MLP,radish_pred_MLP,garlic_pred_MLP,onion_pred_MLP,daikon_pred_MLP,cilantro_pred_MLP,artichoke_pred_MLP
2021-01-01,713.0,760.0,4182.76,1282.48,2163.33,3862.77,12340.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,713.0,760.0,4182.76,1282.48,2163.33,3862.77,12340.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,713.0,760.0,4182.76,1282.48,2163.33,3862.77,12340.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,1946.9,708.5,4427.22,1381.92,2083.49,3539.8,8773.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,1307.79,996.28,4731.48,1396.43,2316.91,3281.04,10148.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,1942.6,1012.55,4420.99,1484.83,2555.18,3440.97,11108.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,1872.97,694.47,4080.54,1488.01,2740.9,3018.87,11615.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,2091.3,718.38,4562.64,1423.3,2358.48,3183.15,7231.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,1786.48,804.76,4579.95,1427.9,2388.88,2152.83,6631.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,1786.48,804.76,4579.95,1427.9,2388.88,2152.83,6631.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,1953.97,786.63,3774.07,1610.98,2486.8,3339.7,10513.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,1305.05,991.86,5260.5,1718.97,2691.54,3167.29,8957.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,1960.94,1247.23,5343.98,1730.34,2742.41,3069.97,9288.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
